Name,Website,Category,Type,Tier,Investments,logo_url
Daffodil University,https://daffodilvarsity.edu.bd/department/de,University Programs,Local,,,https://daffodilvarsity.edu.bd/template/images/diulogoside.png
Tiger Global Management,http://tigerglobal.com,Private Equity,Global,1,,https://cdn.prod.website-files.com/6368d53a1a07d773698447c6/662f7a2eb75bc8c334a81c6b_65cae63c9583cfe537bfe205_ExitStack%2520Design%2520(2).jpeg
Fajr Capital,,Private Equity,Global,3,Investor in Truck Lagbe Jaatri Arogga Iiarmer,
RSA Capital,https://rsacapital.com/,Private Equity,Local,1,,https://rsacapital.com/Content/images/RSACapitalLogo.png
Brummer and Partners,https://www.brummer.se/,Private Equity,Local,2,,
Mycelium,https://www.mysmefund.com/,Private Equity,Local,2,,https://lh6.googleusercontent.com/VDGjyHNyJIQs1sD7LFDzhz6q7Yk6dlqm6sv8EhcydtggBfSS1v-FMqV97-UcdJ7le4_ijMGxc3ZUd_pEFthHy8ncFYeY4EY7O2lZnvs5f1JiH-Ipuf1-M9INoDaKGjxWvt9mPhhVwLY=w16383
SEAF Bangladesh,https://www.seaf.com,Private Equity,Local,1,,
Cablgram,https://www.cablgram.com/,Media and Information Platforms,Local,1,,https://www.cablgram.com/logo.png
ExitStack,https://www.exitstack.co/,Media and Information Platforms,Local,1,,https://cdn.prod.website-files.com/6368d53a1a07d77d688447ad/66366306657004c876d03a73_logo.png
Future Startup,http://futurestartup.com,Media and Information Platforms,Local,1,,https://futurestartup.com/wp-content/uploads/2013/12/fs-logo.png
Nutshell Today,https://www.nutshelltoday.com/,Media and Information Platforms,Local,1,,https://www.nutshelltoday.com/home-logo.png
The Front Page,https://www.facebook.com/thefrontpagebd/,Media and Information Platforms,Local,1,,
Shark Tank Bangladesh,,Media and Information Platforms,Local,1,Startup Bangladesh Limited (SBL) Robi,https://sharktankbdblog.com/wp-content/uploads/2024/04/Shark-Tank-Bangladesh-Blog-logo-BLUE-yellow.png
Banglalink Ennovators,https://ennovators.banglalink.net/,Incubators & Accelerators,Corporate,1,,https://www.banglalink.net/images/newLogo.png
GP Accelerator,https://www.grameenphone.com/about/gp-accelerator,Incubators & Accelerators,Corporate,1,Grameenphone,
Robi R-Ventures,https://www.robi.com.bd/en/corporate/robi-r-ventures,Incubators & Accelerators,Corporate,1,,https://www.robi.com.bd/_next/static/media/robi-logo-2.d08ae93d.svg
Accelerating Asia,https://www.acceleratingasia.com/,Incubators & Accelerators,Global,1,,https://images.squarespace-cdn.com/content/v1/66a224e901a5112a9af956e1/16479261-3499-49e6-b47c-050666dfecfa/Menu_Logo_AcceleratingAsiaVentures-min.png
Entrepreneurship World Cup,https://www.entrepreneurshipworldcup.com,Incubators & Accelerators,Global,1,Global Entrepreneurship Network (GEN),https://d3brk8rkzvc45n.cloudfront.net/s3fs-public/2022-05/EWC.svg
Iterative,https://www.iterative.vc/,Incubators & Accelerators,Global,1,,https://cdn.prod.website-files.com/60b1bd0542d31f178d12f8e5/60b1bf54d2a4d962883ac95d_logo-black-on-white.webp
Next Innovation With Japan (NINJA) Accelerator,https://www.jica.go.jp/english/information/topics/2021/20220311_01.html,Incubators & Accelerators,Global,1,JICA,
SDGia Financial Inclusion,,Incubators & Accelerators,Global,,,
Seedstars,https://www.seedstars.com/,Incubators & Accelerators,Global,1,,https://www.seedstars.com/static/img/seedstars_blue.fcbd2a36c116.svg
Surge Accelerator,https://www.surgeahead.com/,Incubators & Accelerators,Global,1,Peak XV Partners Operations LLC,https://surge.peakxv.com/wp-content/themes/surge/assets/img/footer/surge.svg
